# Date  ID  RA  Dec  dt  dtunits  airmass_best  airmass_ok  airmass_acceptable  jsonfilename
2024-02-02 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-02 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-06 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-06 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-08 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-08 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-08 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-08 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-11 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-11 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-14 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-14 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-17 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-17 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-17 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-17 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-20 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-20 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-20 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-20 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-20 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_C.json
2024-02-29 DECaPSWest-DDF-A 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-02-29 DECaPSWest-DDF-B 116.32 -26.25         0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-02-29 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_A.json
2024-02-29 COSMOS-23-FEB-DDF-SEQ-B 149.22 +1.75   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_B.json
2024-02-29 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_C.json
2024-03-03 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-03-03 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-03-03 COSMOS-23-DDF-SEQ-A 150.00 +3.10   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_A.json
2024-03-03 COSMOS-23-DDF-SEQ-B 149.22 +1.75   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_B.json
2024-03-03 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_C.json
2024-03-06 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-03-06 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-03-06 COSMOS-23-DDF-SEQ-A 150.00 +3.10   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_A.json
2024-03-06 COSMOS-23-DDF-SEQ-B 149.22 +1.75   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_B.json
2024-03-06 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_C.json
2024-03-09 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-03-09 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-03-12 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-03-12 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-03-12 COSMOS-23-DDF-SEQ-A 150.00 +3.10   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_A.json
2024-03-12 COSMOS-23-DDF-SEQ-B 149.22 +1.75   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_B.json
2024-03-12 COSMOS-23-FEB-DDF-SEQ-A 150.00 +3.10   0.47 h 1.2 1.5 1.6 cosmos23_feb_ddf_seq_C.json
2024-03-15 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-03-15 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-04-02 DECaPSWest-DDF-A 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_A.json
2024-04-02 DECaPSWest-DDF-B 116.32 -26.25     0.27 h 1.2 1.5 1.6 decapswest_ddf_B.json
2024-04-02 COSMOS-23-DDF-SEQ-A 150.00 +3.10   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_A.json
2024-04-02 COSMOS-23-DDF-SEQ-B 149.22 +1.75   0.50 h 1.2 1.5 1.6 cosmos23_ddf_seq_B.json
