             YSEID            RA           Dec        RACand       DecCand       SNID    candCCD    priority   
           401.B.a     37.932886      1.641360     37.965368      2.050201    2021cjf         16           4   
           403.D.a     52.093869      0.140225     52.200620      0.918704    2021ctk          6           4   
           253.B.a     52.142616    -20.354317     52.069189    -20.223701    2021cxr         28           4   
           353.F.a     67.338019     -6.564764     67.439363     -5.996753    2021ccy         10           4   
           257.B.a     83.006370    -21.855490     83.342404    -21.951819    2021jad         36           1   
          1658.C.a    102.703163     27.911818    102.513992     27.486092    2021esi         47           4   
           415.A.a    123.118545    -12.019660    123.454596    -12.115986    2021cyn         36           4   
          1511.B.a    124.365277     10.492781    124.553788     10.890245    2021cym         16           4   
     415.A.2021koj    125.203410    -12.598140    125.392975    -13.352342    2021koj         58           1
           415.A.b    129.507492     -1.339554    129.871321     -1.408103    2021ddh         36           4   
           415.B.a    133.714302     -0.538301    134.077946     -0.442142    2021dov         29           4   
     365.A.2021lnf    143.822410     -16.76384    144.507696    -16.858764    2021lnf         37           1   
           418.A.a    154.957870     -4.325000    154.972385     -3.735378    2021jze         10           1
     468.F.2021jut    158.036050      6.968920    157.874055      6.242642    2021kut         57           1   
           418.F.a    162.238815      0.364871    162.600631      0.926922    2021dev         11           4   
           523.D.a    173.243143     13.486186    172.910267     14.076265    2021dha          9           4   
           523.C.a    173.895752      8.613094    173.736066      9.038658    2021dib         15           4   
#          575.B.a    178.488510     24.629617    178.648724     25.383441    2021ckc          6           4   
           575.B.a    175.827225     21.016209    176.192767     20.126200    2021low         62           1
           525.D.a    183.242100     12.386680    183.692940     13.331372    2021chy         28           4   
           525.D.a    183.242100     12.386680    183.042892     13.249179    2021gno          1           3
           474.E.a    185.871629      3.175669    186.381320      3.437056    2021dgu         23           4   
           575.A.a    189.364165     22.531693    189.350896     23.093542    2021dnm         10           4   
           423.B.a    192.025846     -1.829542    191.165517     -2.087485    2021jlj         39           1
           577.B.a    194.037770     21.387090    194.198754     21.647986    2021dhg         22           4   
           423.C.a    195.429716     -3.849833    194.800296     -4.204011    2021fom         46           3   
           423.C.a    195.429716     -3.849833    195.966087     -3.451744    2021gyh         17           3   
#          577.A.a    196.187961     29.276518    196.348945     29.509636    2021dch         22           4   
#577.A.21inl_21dch    195.868733     28.670807    196.348945     29.509636    2021dch          3           4   
#577.A.21inl_21dch    195.868733     28.670807    195.388521     27.831978    2021inl         60           1   
 577.A.21inl_21lxb    195.450000     27.900000    195.388521     27.831978    2021inl         35           1
 577.A.21inl_21lxb    195.450000     27.900000    195.494377     28.008568    2021lxb         28           1
     423.E.2021fxy    198.620080    -19.444260    198.256583    -19.512544    2021fxy         34           3   
           674.E.a    210.891110     27.887453    211.052733     27.626144    2021dep         42           4   
     376.A.2020esm    211.316737     -7.374202    211.505891     -7.772315    2021cjb         48           4   
           477.E.a    215.906104      2.442526    216.066837      2.867767    2021dur         16           4   
           477.F.a    216.522959     15.593446    216.886787     15.524897    2021dam         36           4   
           477.D.a    219.386460     12.573291    219.750104     12.669450    2021jpk         29           1
     629.A.2021lat    220.382880      24.21769    220.224125     24.971658    2021lat          5           1
           428.B.a    223.440154      3.770551    223.279096      3.537253    2021dlb         41           4   
           428.F.a    232.371140      0.140040    232.531867     -0.565278    2021jkd         16           1 
     531.2021jvs.a    223.751410      6.691500    224.436699      6.624353    2021jvs         37           1     
           531.E.a    234.975173     10.178282    235.471812     10.105081    2021haz         36           1   
           632.C.a    241.864306     25.745045    242.025929     25.483736    2021dcu         42           4   
           632.D.a    243.528587     28.939878    242.843729     28.873104    2021jof         33           1
     583.2021kpu.a    231.090590     22.420310    230.5820125   22.6818806    2021kpu         20           1
           583.F.a    245.381540     20.496170    245.541762     21.222213    2021gez          6           2   
           583.A.a    245.855700     14.812740    245.316677     14.552683    2021hem         40           2
           632.A.a    238.764690     24.590580    238.592400     24.490414    2021kbj         99           1
           531.D.a    238.764690     24.590580    238.592400     24.490414    2021log         23           1
